Running for 2500.0 seconds (5000 samples at 0.5 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
09:56:02   2.7   0.0   1.4  96.0   0.0    1  12764   4380    0    0    0  33.29 
09:56:03   1.8   0.0   0.9  97.3   0.0    2  15518   4808    0    0    1  31.20 
09:56:03   3.8   0.0   1.4  94.8   0.0    4  14098   4826    3    2    3  25.67 
09:56:04   8.0   0.0   2.4  89.6   0.0    3  28694  13916   19    7   20  48.13 
09:56:04   1.8   0.0   0.8  97.5   0.0    1  12462   4280    0    0    0  29.46 
09:56:05   1.9   0.0   0.8  97.3   0.0    2  13822   4560    0    0    1  30.30 
09:56:05   1.8   0.0   0.9  97.3   0.0    2  12406   4210    3    2    3  30.24 
09:56:06   2.4   0.0   1.0  96.6   0.0    2  14518   4780    0    0    0  30.54 
09:56:06   7.2   0.0   1.6  91.2   0.0    2  12896   4730    1    0    0  15.54 
09:56:07   6.6   0.0   1.1  92.2   0.0    1  14382   5024    0    0    0  20.76 
09:56:07   2.0   0.0   1.0  96.9   0.0    2  12738   4316    4    2    3  30.99 
09:56:08   2.8   0.0   1.5  95.7   0.0    2  14004   4664    0    0    0  32.46 
09:56:08   2.0   0.0   1.4  96.6   0.0    3  12600   4066    0    0    0  30.58 
09:56:09   5.6   0.0   2.0  92.3   0.1    2  17920   5906   20    7   20  33.76 
09:56:09   2.2   0.0   1.5  96.3   0.0    2  13272   4372    3    2    3  32.77 
09:56:10   2.3   0.0   1.8  95.9   0.0    1  17128   6144    0    0    1  35.85 
09:56:10   5.6   0.0   1.8  92.7   0.0    3  14060   5842    0    0    0  30.07 
09:56:11   5.6   0.0   1.7  92.7   0.0    7  15094   5248    1    0    1  22.13 
09:56:11   6.5   0.0   1.9  91.6   0.0    1  15904   5146    4    2    4  27.12 
09:56:12   6.1   0.0   1.5  92.4   0.0    4  16010   5360    0    0    0  19.04 
09:56:12   6.7   0.0   1.3  92.1   0.0    1  14066   4800    3    1    6  17.58 
09:56:13   2.9   0.0   1.3  95.8   0.0    5  13418   4456    0    0    0  32.08 
09:56:13   3.8   0.0   1.3  95.0   0.0    2  12148   4392    3    2    3  28.45 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
09:56:14   3.7   0.0   1.7  94.7   0.0    4  17552   5962   19    7   19  36.03 
09:56:14   6.5   0.0   1.6  91.8   0.0    1  12138   4504    0    0    0  17.38 
09:56:15   6.2   0.0   1.5  92.3   0.0    2  13688   4980    0    0    0  22.07 
09:56:15   6.2   0.0   2.0  91.8   0.0    2  12754   4718    3    2    3  22.02 
09:56:16  10.9   0.0   1.6  87.4   0.0    1  15934   6588    0    0    0  23.17 
